attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength
41,391143,48,232,543848,127780,174818,16927,139923,3686,1006455,0,0
41,391143,48,340,543848,127780,174818,16927,139923,3686,1006455,0,0
41,391143,48,-7,543848,127780,174818,16927,139923,3686,1006455,0,0
41,391143,48,200,543848,127780,174818,16927,139923,3686,1006455,0,0
41,391143,48,104,543848,127780,174818,16927,139923,3686,1006455,0,0
41,391143,48,-243,543848,127780,174818,16927,139923,3686,1006455,0,0
41,391143,48,309,543848,127780,174818,16927,139923,3686,1006455,0,0
63,834892,51,-154,241020,27378,164193,28426,187143,2628,952922,0,0
63,834892,51,-45,241020,27378,164193,28426,187143,2628,952922,0,0
63,834892,51,349,241020,27378,164193,28426,187143,2628,952922,0,0
63,834892,51,-20,241020,27378,164193,28426,187143,2628,952922,0,0
63,834892,51,322,241020,27378,164193,28426,187143,2628,952922,0,0
63,834892,51,200,241020,27378,164193,28426,187143,2628,952922,0,0
63,834892,51,179,241020,27378,164193,28426,187143,2628,952922,0,0
63,834892,51,-257,241020,27378,164193,28426,187143,2628,952922,0,0
63,834892,51,-190,241020,27378,164193,28426,187143,2628,952922,0,0
63,834892,51,-221,241020,27378,164193,28426,187143,2628,952922,0,0
50,218644,54,355,800129,43664,340726,3842,155416,9169,920888,0,0
50,218644,54,-157,800129,43664,340726,3842,155416,9169,920888,0,0
50,218644,54,-353,800129,43664,340726,3842,155416,9169,920888,0,0
50,218644,54,-163,800129,43664,340726,3842,155416,9169,920888,0,0
50,218644,54,387,800129,43664,340726,3842,155416,9169,920888,0,0
50,218644,54,937,800129,43664,340726,3842,155416,9169,920888,0,0
50,218644,54,567,800129,43664,340726,3842,155416,9169,920888,0,0
50,218644,54,390,800129,43664,340726,3842,155416,9169,920888,0,0
50,218644,54,-151,800129,43664,340726,3842,155416,9169,920888,0,0
50,218644,54,-166,800129,43664,340726,3842,155416,9169,920888,0,0
50,507971,54,-34,1524550,26408,185479,9353,244284,5172,855161,26,0
50,507971,54,-25,1524550,26408,185479,9353,244284,5172,855161,26,0
50,507971,54,-467,1524550,26408,185479,9353,244284,5172,855161,26,0
50,507971,54,-132,1524550,26408,185479,9353,244284,5172,855161,26,0
50,507971,54,-72,1524550,26408,185479,9353,244284,5172,855161,26,0
50,507971,54,-328,1524550,26408,185479,9353,244284,5172,855161,26,0
50,507971,54,484,1524550,26408,185479,9353,244284,5172,855161,26,0
50,507971,54,-182,1524550,26408,185479,9353,244284,5172,855161,26,0
50,507971,54,73,1524550,26408,185479,9353,244284,5172,855161,26,0
50,507971,54,-438,1524550,26408,185479,9353,244284,5172,855161,26,0
50,945894,63,166,623712,75503,225940,8658,143144,3300,889019,0,0
50,945894,63,33,623712,75503,225940,8658,143144,3300,889019,0,0
50,945894,63,-29,623712,75503,225940,8658,143144,3300,889019,0,0
50,945894,63,-362,623712,75503,225940,8658,143144,3300,889019,0,0
50,945894,63,-249,623712,75503,225940,8658,143144,3300,889019,0,0
50,945894,63,324,623712,75503,225940,8658,143144,3300,889019,0,0
50,945894,63,519,623712,75503,225940,8658,143144,3300,889019,0,0
50,945894,63,498,623712,75503,225940,8658,143144,3300,889019,0,0
50,945894,63,-27,623712,75503,225940,8658,143144,3300,889019,0,0
50,945894,63,-37,623712,75503,225940,8658,143144,3300,889019,0,0
60,1129131,54,325,550829,95011,102228,8229,198371,5073,869553,0,0
60,1129131,54,355,550829,95011,102228,8229,198371,5073,869553,0,0
60,1129131,54,68,550829,95011,102228,8229,198371,5073,869553,0,0
60,1129131,54,-177,550829,95011,102228,8229,198371,5073,869553,0,0
60,1129131,54,-233,550829,95011,102228,8229,198371,5073,869553,0,0
60,1129131,54,-9,550829,95011,102228,8229,198371,5073,869553,0,0
60,1129131,54,325,550829,95011,102228,8229,198371,5073,869553,0,0
60,1129131,54,482,550829,95011,102228,8229,198371,5073,869553,0,0
60,1129131,54,332,550829,95011,102228,8229,198371,5073,869553,0,0
60,1129131,54,-501,550829,95011,102228,8229,198371,5073,869553,0,0
44,570948,50,157,658319,9117,226777,6092,203444,3617,872772,0,0
44,570948,50,312,658319,9117,226777,6092,203444,3617,872772,0,0
44,570948,50,506,658319,9117,226777,6092,203444,3617,872772,0,0
44,570948,50,-253,658319,9117,226777,6092,203444,3617,872772,0,0
44,570948,50,-377,658319,9117,226777,6092,203444,3617,872772,0,0
44,570948,50,-282,658319,9117,226777,6092,203444,3617,872772,0,0
44,570948,50,-184,658319,9117,226777,6092,203444,3617,872772,0,0
44,570948,50,-6,658319,9117,226777,6092,203444,3617,872772,0,0
44,570948,50,596,658319,9117,226777,6092,203444,3617,872772,0,0
44,570948,50,119,658319,9117,226777,6092,203444,3617,872772,0,0
63,510815,51,-109,473851,45286,240972,4093,202686,3389,889884,0,0
63,510815,51,236,473851,45286,240972,4093,202686,3389,889884,0,0
63,510815,51,509,473851,45286,240972,4093,202686,3389,889884,0,0
63,510815,51,-105,473851,45286,240972,4093,202686,3389,889884,0,0
63,510815,51,-309,473851,45286,240972,4093,202686,3389,889884,0,0
63,510815,51,-217,473851,45286,240972,4093,202686,3389,889884,0,0
63,510815,51,99,473851,45286,240972,4093,202686,3389,889884,0,0
63,510815,51,-309,473851,45286,240972,4093,202686,3389,889884,0,0
63,510815,51,151,473851,45286,240972,4093,202686,3389,889884,0,0
63,510815,51,699,473851,45286,240972,4093,202686,3389,889884,0,0
70,249569,50,-521,567733,2824,267846,15239,176220,2257,932565,0,0
70,249569,50,-282,567733,2824,267846,15239,176220,2257,932565,0,0
70,249569,50,307,567733,2824,267846,15239,176220,2257,932565,0,0
70,249569,50,411,567733,2824,267846,15239,176220,2257,932565,0,0
70,249569,50,280,567733,2824,267846,15239,176220,2257,932565,0,0
70,249569,50,-454,567733,2824,267846,15239,176220,2257,932565,0,0
70,249569,50,-163,567733,2824,267846,15239,176220,2257,932565,0,0
70,249569,50,621,567733,2824,267846,15239,176220,2257,932565,0,0
70,249569,50,-354,567733,2824,267846,15239,176220,2257,932565,0,0
70,249569,50,220,567733,2824,267846,15239,176220,2257,932565,0,0
70,231205,50,-300,135311,9346,42116,6033,58997,1376,221544,26,0
70,231205,50,-130,135311,9346,42116,6033,58997,1376,221544,26,0
70,231205,50,152,135311,9346,42116,6033,58997,1376,221544,26,0
70,231205,50,245,135311,9346,42116,6033,58997,1376,221544,26,0
70,231205,50,442,135311,9346,42116,6033,58997,1376,221544,26,0
70,231205,50,228,135311,9346,42116,6033,58997,1376,221544,26,0
70,231205,50,-41,135311,9346,42116,6033,58997,1376,221544,26,0
70,231205,50,29,135311,9346,42116,6033,58997,1376,221544,26,0
70,231205,50,-379,135311,9346,42116,6033,58997,1376,221544,26,0
70,231205,50,448,135311,9346,42116,6033,58997,1376,221544,26,0
66,389860,50,4,682645,28770,202606,6487,192550,3956,873369,0,0
66,389860,50,-418,682645,28770,202606,6487,192550,3956,873369,0,0
66,389860,50,70,682645,28770,202606,6487,192550,3956,873369,0,0
66,389860,50,-251,682645,28770,202606,6487,192550,3956,873369,0,0
66,389860,50,188,682645,28770,202606,6487,192550,3956,873369,0,0
66,389860,50,500,682645,28770,202606,6487,192550,3956,873369,0,0
66,389860,50,487,682645,28770,202606,6487,192550,3956,873369,0,0
66,389860,50,-56,682645,28770,202606,6487,192550,3956,873369,0,0
66,389860,50,-434,682645,28770,202606,6487,192550,3956,873369,0,0
66,389860,50,-410,682645,28770,202606,6487,192550,3956,873369,0,0
57,1403522,47,102,619260,49212,137005,3732,123207,3858,816264,0,0
57,1403522,47,-71,619260,49212,137005,3732,123207,3858,816264,0,0
57,1403522,47,24,619260,49212,137005,3732,123207,3858,816264,0,0
57,1403522,47,-614,619260,49212,137005,3732,123207,3858,816264,0,0
57,1403522,47,19,619260,49212,137005,3732,123207,3858,816264,0,0
57,1403522,47,-322,619260,49212,137005,3732,123207,3858,816264,0,0
57,1403522,47,421,619260,49212,137005,3732,123207,3858,816264,0,0
57,1403522,47,58,619260,49212,137005,3732,123207,3858,816264,0,0
57,1403522,47,36,619260,49212,137005,3732,123207,3858,816264,0,0
54,840833,43,220,371224,56474,128272,1132,144697,2014,815345,0,0
54,840833,43,362,371224,56474,128272,1132,144697,2014,815345,0,0
